nama_bandara,latitude,longitude,airport_code
Sugimanuru Airport,-4.763298,122.566352,RAQ
Rokot Airport,-0.949999988079071,100.75,RKI
Tumbang Samba Airport,-1.4694,113.0833,TBM
Tiom Airport,-3.9256,138.4555,TMY
Pagerungan Airport,-6.956610202789999,115.930999756,ID-WA19
Senggo Airport,-5.6908,139.3502,ZEG
Bilogai-Sugapa Airport,-3.739503,137.031183,UGU
Jos Orno Imsula Airport,-8.140402,127.908758,JIO
Blang Pidie Airport,3.735749,96.790109,KJX
Kimaam Airport,-7.9782,138.852005,KMM
Maleo Airport,-2.203333,121.660278,MOH
Sinak Airport,-3.822249,137.839208,NKD
Aru Airport,-6.57342004776001,134.14700317382812,WA1B
Maranggo Airport,-5.7645702362061,123.91699981689,TQQ
Hasanuddin International Airport,-5.06163,119.554001,UPG
Malimpung Airport,-3.7382,119.7502,WAAG
Makale Airport,-3.10935997963,119.856002808,WAAT
Frans Kaisiepo Airport,-1.19002,136.108002,BIK
Akimuga Airstrip,-4.6043,137.6576,WABC
Moanamani Airport,-4.00659,136.037704,ONI
Kornasoren Airfield,-0.935842,134.872298,FOO
Wagethe Airport,-4.05916,136.281715,WET
Nabire Airport,-3.368586,135.496702,NBX
Illaga Airport,-3.97648,137.6225,ILA
Kokonao Airport,-4.71075,136.43515,KOX
Mozes Kilangin Airport,-4.52978,136.887388,TIM
Enarotali Airport,-3.925739,136.378634,EWI
Waren Airport,-1.6285300254822,134.12399291992,WABW
Kebo Airstrip,-3.8248,136.385844,WABY
Selaparang Airport,-8.56056,116.095097,AMI
Sultan Muhammad Salahuddin Airport,-8.537184,118.685002,BMU
Ngurah Rai (Bali) International Airport,-8.74817,115.167,DPS
Lombok International Airport,-8.757792,116.275435,LOP
Sumbawa Besar Airport,-8.48904037475586,117.41200256347656,SWQ
Tambolaka Airport,-9.409224,119.242558,TMC
Umbu Mehang Kunda Airport,-9.66922,120.302002,WGP
Pitu Airport,2.04599,128.324997,OTI
Toraja Airport,-3.185833,119.91775,TRT
Bua - Palopo Lagaligo Airport,-3.082997,120.245018,LLO
Mutiara - SIS Al-Jufrie Airport,-0.916462,119.908647,PLW
Tampa Padang Airport,-2.590267,119.025364,MJU
Andi Jemma Airport,-2.55803,120.323997,MXB
Kasiguncu Airport,-1.41675,120.657997,PSJ
Tanjung Api Airport,-0.865437,121.628625,OJU
Syukuran Aminuddin Amir Airport,-1.035893,122.773934,LUW
Haji Muhammad Sidik Airport,-1.02581,114.92881,HMS
Seruyan Kuala Pembuang Airport,-3.376062,112.536521,KLP
Tjilik Riwut Airport,-2.22513,113.943001,PKY
Yogyakarta International Airport,-7.905338,110.057264,YIA
Tunggul Wulung Airport,-7.64506,109.033997,CXP
Dewadaru - Kemujan Island,-5.80091,110.47838,KWB
Bokondini Airport,-3.68455,138.677437,BUI
Wakde Airport,-1.935289978981018,139.02000427246094,WAJD
Mararena Sarmi Airport,-1.873077,138.753275,ZRM
Dortheys Hiyo Eluay International Airport,-2.579627,140.519857,DJJ
Kiwirok Airstrip,-4.713481,140.740271,WAJK
Lereh Airport,-3.0795,139.952,LHI
Mulia Airport,-3.701938,137.957,LII
Oksibil Airport,-4.9071,140.6277,OKL
Senggeh Airport,-3.442448,140.778079,SEH
Werur Airport,-0.420096,132.1886,WAJY
Mindiptana Airport,-5.876929,140.70946,MDP
Bade Airport,-7.175902,139.58333,BXD
Agats Airport,-5.543288,138.134911,WAKG
Mopah International Airport,-8.523898,140.419693,MKQ
Okaba Airport,-8.0946,139.7233,OKQ
Kepi Airport,-6.5418,139.3318,KEI
Tanah Merah Airport,-6.09669,140.303521,TMH
Melalan Airport,-0.203611,115.760002,GHS
Tanjung Harapan Airport,2.83583333333,117.373611111,TJS
Datadawai Airport,0.8106,114.5306,DTD
Kalimarau Airport,2.1555,117.431999,BEJ
Sultan Aji Muhammad Sulaiman Sepinggan International Airport,-1.268342,116.89452,BPN
Muara Badak Pujangan Airport,-0.306075006723,117.416000366,WALQ
Juwata International Airport / Suharnoko Harbani AFB,3.325145,117.564169,TRK
Aji Pangeran Tumenggung Pranoto International Airport,-0.374478,117.250128,AAP
Tanjung Santan Airport,-0.0929730013013,117.45300293,TSX
